TF,RR,trades,winrate,pf,net,champion
1m*,1.54,691,0.4428,0.802,-585.15,True
1m,1.5,1711,0.4325,0.9511,-437.61,False
1m,2.0,1537,0.3572,0.926,-670.41,False
1m,2.5,1425,0.3067,0.9467,-468.08,False
1m,3.0,1364,0.2683,0.9838,-139.21,False
3m,1.5,995,0.4111,0.9493,-345.8,False
3m,2.0,903,0.3599,1.0645,420.54,False
3m,2.5,740,0.3189,1.1067,608.69,False
3m,3.0,716,0.2779,1.0607,350.07,False
5m,1.5,779,0.4275,1.0804,464.71,False
5m,2.0,680,0.3647,1.1801,939.24,False
5m,2.5,635,0.3071,1.2705,1330.92,False
5m,3.0,527,0.2638,1.3254,1244.53,False
15m,1.5,448,0.4085,1.0406,178.02,False
15m,2.0,411,0.3382,0.9972,-12.57,False
15m,2.5,379,0.3113,1.0605,272.25,False
15m,3.0,362,0.279,1.1388,619.85,False
30m,1.5,290,0.4276,1.0117,43.24,False
30m,2.0,261,0.3678,1.1146,414.72,False
30m,2.5,246,0.3293,1.1966,718.4,False
30m,3.0,235,0.2809,1.2635,963.91,False
45m,1.5,233,0.3991,1.2396,754.19,False
45m,2.0,213,0.3286,1.2803,893.28,False
45m,2.5,193,0.2902,1.3811,1163.74,False
45m,3.0,174,0.2586,1.5191,1520.76,False
1H,1.5,176,0.4375,1.589,1442.36,False
1H,2.0,162,0.3889,1.7671,1890.95,False
1H,2.5,147,0.3333,1.8621,2020.19,False
1H,3.0,121,0.281,1.6728,1389.59,False
2H,1.5,113,0.4602,1.6377,1196.12,False
2H,2.0,103,0.3981,1.7398,1462.5,False
2H,2.5,89,0.3034,1.5325,1008.5,False
2H,3.0,78,0.2564,1.6422,1050.22,False
3H,1.5,59,0.4576,1.7425,829.83,False
3H,2.0,56,0.375,1.7784,978.29,False
3H,2.5,51,0.3725,2.2966,1411.94,False
3H,3.0,47,0.3617,2.6364,1604.62,False
4H,1.5,14,0.5,1.4169,128.58,False
4H,2.0,14,0.3571,1.4983,171.85,False
4H,2.5,14,0.2143,0.6432,-172.34,False
4H,3.0,14,0.2143,0.7734,-109.48,False
1D,1.5,0,0.0,0.0,0.0,False
1D,2.0,0,0.0,0.0,0.0,False
1D,2.5,0,0.0,0.0,0.0,False
1D,3.0,0,0.0,0.0,0.0,False
