TF,RR,Trades,Wins,Losses,WinRate,PF,Net,DD
1m,3.0,96,40,56,0.4167,2.00,513.30,66.07
3m,3.0,105,38,67,0.3619,1.29,154.91,91.85
5m,3.0,50,24,26,0.4800,2.44,474.28,62.47
15m,2.5,196,77,119,0.3929,1.71,947.45,109.75
30m,2.0,601,234,367,0.3894,1.11,529.16,681.70
45m,2.0,495,202,293,0.4081,1.28,1000.86,305.71
1H,2.0,364,168,196,0.4615,1.54,1853.04,377.05
2H,2.0,272,115,157,0.4228,1.40,1189.33,440.22
3H,2.0,241,108,133,0.4481,1.38,1117.74,564.95
4H,2.0,216,94,122,0.4352,1.56,1513.04,331.06
1D,1.0,198,115,83,0.5808,1.26,1073.02,903.59
